0,0
1,1
0,2
1,3
0,4
1,5
2,6
3,7
4,8
5,9
4,10
5,11
4,12
5,13
4,14
3,15
4,16
5,17
4,18
5,19
6,20
5,21
6,22
7,23
8,24
8,25
9,26
10,27
10,28
10,29
10,30
10,31
10,32
10,33
10,34
10,35
10,36
10,37
10,38
10,39
10,40
10,41
10,42
11,43
12,42
12,41
13,40
14,39
13,38
12,37
12,36
12,35
12,34
13,33
14,32
15,31
14,30
13,29
14,28
15,27
14,26
13,25
12,24
13,23
12,22
13,21
14,20
15,19
16,18
17,17
18,16
17,15
18,14
17,13
18,12
19,11
20,10
21,11
22,10
23,11
24,11
25,12
26,13
27,14
28,15
29,16
30,17
31,18
32,19
33,20
34,21
35,22
36,23
37,24
38,25
39,26
40,27
41,28
42,29
43,30
44,31
45,32
46,33
47,34
48,35
49,36
48,37
47,38
48,39
47,40
46,41
45,42
46,43
45,44
46,45
47,46
48,47
49,48
48,49
47,50
48,51
49,52
48,53
49,54
48,55
49,56
49,57
49,58
49,59
49,60
49,61
49,62
49,63
49,64
49,65
49,66
49,67
48,68
47,67
47,66
47,65
47,64
47,63
47,62
47,61
47,60
47,59
47,58
46,57
45,58
44,59
45,60
45,61
45,62
45,63
45,64
44,65
43,64
42,63
41,62
41,61
41,60
41,59
41,58
40,57
39,58
39,59
39,60
39,61
39,62
39,63
39,64
39,65
39,66
40,67
41,67
42,67
43,68
43,69
43,70
43,71
43,72
43,73
42,74
43,75
42,76
41,77
40,78
40,79
39,80
38,79
37,78
38,77
37,76
38,75
37,74
37,73
38,72
39,71
38,70
37,69
36,68
37,67
36,66
37,65
36,64
36,63
